Home_id;Away_id;Bookmaker;OddHome;OddDraw;OddAway;Date;Score_home;Score_away;Season
Athletico-PR;Flamengo RJ;1xBet;+112;+229;+296;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;bet-at-home;+114;+227;+215;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;bet365;+114;+220;+200;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;bwin;+120;+220;+200;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;Marathonbet;+110;+229;+298;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;Pinnacle;+125;+242;+246;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;Unibet;+120;+220;+210;11 Dec 2016; 0;0 ;2016
Athletico-PR;Flamengo RJ;William Hill;+210;+210;+210;11 Dec 2016; 0;0 ;2016
Cruzeiro;Corinthians;1xBet;+110;+248;+286;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;bet-at-home;+135;+231;+175;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;bet365;+129;+220;+175;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;bwin;+135;+210;+185;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;Marathonbet;+108;+248;+278;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;Pinnacle;+134;+249;+221;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;Unibet;+129;+220;+200;11 Dec 2016; 3;2 ;2016
Cruzeiro;Corinthians;William Hill;+200;+200;+200;11 Dec 2016; 3;2 ;2016
Fluminense;Internacional;1xBet;+142;+250;+204;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;bet-at-home;+214;+224;+116;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;bet365;+200;+220;+114;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;bwin;+210;+220;+114;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;Marathonbet;+140;+250;+204;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;Pinnacle;+323;+258;-104;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;Unibet;+215;+240;+110;11 Dec 2016; 1;1 ;2016
Fluminense;Internacional;William Hill;+110;+110;+110;11 Dec 2016; 1;1 ;2016
Gremio;Botafogo RJ;1xBet;-106;+248;+344;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;bet-at-home;+161;+218;+154;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;bet365;+150;+220;+150;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;bwin;+150;+220;+160;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;Marathonbet;+100;+250;+305;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;Pinnacle;+233;+254;+125;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;Unibet;+210;+229;+120;11 Dec 2016; 0;1 ;2016
Gremio;Botafogo RJ;William Hill;+120;+120;+120;11 Dec 2016; 0;1 ;2016
Ponte Preta;Coritiba;1xBet;-106;+250;+344;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;bet-at-home;-122;+243;+303;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;bet365;-125;+225;+300;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;bwin;-118;+220;+300;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;Marathonbet;+104;+246;+298;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;Pinnacle;-116;+266;+365;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;Unibet;-125;+250;+320;11 Dec 2016; 2;0 ;2016
Ponte Preta;Coritiba;William Hill;+320;+320;+320;11 Dec 2016; 2;0 ;2016
Santos;America MG;1xBet;-370;+550;+1050;11 Dec 2016; 1;0 ;2016
Santos;America MG;bet-at-home;-526;+527;+1053;11 Dec 2016; 1;0 ;2016
Santos;America MG;bet365;-588;+500;+1000;11 Dec 2016; 1;0 ;2016
Santos;America MG;bwin;-556;+500;+1100;11 Dec 2016; 1;0 ;2016
Santos;America MG;Marathonbet;-385;+550;+1100;11 Dec 2016; 1;0 ;2016
Santos;America MG;Pinnacle;-476;+635;+1564;11 Dec 2016; 1;0 ;2016
Santos;America MG;Unibet;-667;+600;+1300;11 Dec 2016; 1;0 ;2016
Santos;America MG;William Hill;+1300;+1300;+1300;11 Dec 2016; 1;0 ;2016
Sport Recife;Figueirense;1xBet;-200;+344;+640;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;bet-at-home;-294;+368;+656;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;bet365;-303;+350;+600;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;bwin;-286;+350;+625;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;Marathonbet;-200;+330;+660;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;Pinnacle;-250;+417;+752;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;Unibet;-286;+375;+650;11 Dec 2016; 2;0 ;2016
Sport Recife;Figueirense;William Hill;+650;+650;+650;11 Dec 2016; 2;0 ;2016
Vitoria;Palmeiras;1xBet;+137;+234;+225;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;bet-at-home;+120;+221;+208;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;bet365;+120;+210;+200;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;bwin;+120;+210;+210;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;Marathonbet;+140;+235;+218;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;Pinnacle;+104;+257;+292;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;Unibet;+120;+220;+215;11 Dec 2016; 1;2 ;2016
Vitoria;Palmeiras;William Hill;+215;+215;+215;11 Dec 2016; 1;2 ;2016
America MG;Sao Paulo;1xBet;+309;+250;+102;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;bet-at-home;+208;+206;+127;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;bet365;+229;+210;+129;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;bwin;+190;+210;+129;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;Marathonbet;+315;+250;+100;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;Pinnacle;+231;+231;+137;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;Unibet;+229;+220;+114;31 Oct 2016; 1;0 ;2016
America MG;Sao Paulo;William Hill;+114;+114;+114;31 Oct 2016; 1;0 ;2016
Figueirense;Gremio;1xBet;+177;+240;+172;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;bet-at-home;+135;+199;+204;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;bet365;+150;+200;+200;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;bwin;+145;+190;+185;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;Marathonbet;+177;+240;+170;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;Pinnacle;+163;+225;+195;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;Unibet;+135;+220;+190;29 Oct 2016; 0;0 ;2016
Figueirense;Gremio;William Hill;+190;+190;+190;29 Oct 2016; 0;0 ;2016
Santos;Palmeiras;1xBet;+131;+240;+236;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;bet-at-home;+129;+214;+197;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;bet365;+129;+210;+229;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;bwin;-139;+240;+350;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;Marathonbet;+129;+240;+236;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;Pinnacle;+142;+236;+218;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;Unibet;+129;+220;+200;29 Oct 2016; 1;0 ;2016
Santos;Palmeiras;William Hill;+200;+200;+200;29 Oct 2016; 1;0 ;2016
Botafogo RJ;Coritiba;1xBet;-161;+290;+565;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;bet-at-home;-147;+244;+390;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;bet365;-137;+229;+450;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;bwin;-133;+229;+350;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;Marathonbet;-167;+290;+590;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;Pinnacle;-127;+268;+416;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;Unibet;-143;+240;+400;29 Oct 2016; 0;0 ;2016
Botafogo RJ;Coritiba;William Hill;+400;+400;+400;29 Oct 2016; 0;0 ;2016
Internacional;Santa Cruz;1xBet;-244;+400;+780;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;bet-at-home;-333;+362;+843;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;bet365;-286;+350;+900;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;bwin;-227;+290;+575;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;Marathonbet;-250;+400;+800;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;Pinnacle;-217;+348;+769;29 Oct 2016; 1;1 ;2016
Internacional;Santa Cruz;Unibet;-333;+400;+850;29 Oct 2016; 1;1 ;2016
