"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","T1",2002-08-09,"Trabzonspor","Fenerbahce",0,0,3.4,3.25,1.909,2003
"2","T1",2002-08-10,"Ankaragucu","Malatyaspor",1,1,1.444,3.6,6.5,2003
"3","T1",2002-08-10,"Bursaspor","Besiktas",2,2,3.5,3.4,1.833,2003
"4","T1",2002-08-10,"Diyarbakirspor","Altay",1,1,1.727,3.4,4,2003
"5","T1",2002-08-10,"Istanbulspor","Adanaspor",2,2,1.727,3.2,4.333,2003
"6","T1",2002-08-11,"Galatasaray","Samsunspor",4,1,1.2,5,11,2003
"7","T1",2002-08-11,"Gaziantepspor","Denizlispor",1,1,1.833,3.2,3.75,2003
"8","T1",2002-08-11,"Goztep","Elazigspor",2,1,1.667,3.25,4.5,2003
"9","T1",2002-08-11,"Kocaelispor","Genclerbirligi",1,3,2.1,3.2,3,2003
"10","T1",2002-08-16,"Denizlispor","Galatasaray",1,3,3.4,3.25,1.909,2003
"11","T1",2002-08-17,"Besiktas","Kocaelispor",2,1,1.286,4.5,8,2003
"12","T1",2002-08-17,"Elazigspor","Trabzonspor",2,0,2.5,3.2,2.4,2003
"13","T1",2002-08-17,"Genclerbirligi","Istanbulspor",4,1,1.727,3.4,4,2003
"14","T1",2002-08-17,"Malatyaspor","Gaziantepspor",1,1,2.625,3.2,2.3,2003
"15","T1",2002-08-17,"Samsunspor","Bursaspor",1,0,2.1,3.2,3,2003
"16","T1",2002-08-18,"Adanaspor","Diyarbakirspor",2,1,1.909,3.25,3.4,2003
"17","T1",2002-08-18,"Altay","Goztep",4,2,2.3,3.2,2.625,2003
"18","T1",2002-08-18,"Fenerbahce","Ankaragucu",1,0,1.333,4,8,2003
"19","T1",2002-08-24,"Goztep","Adanaspor",1,4,1.8,3.25,3.75,2003
"20","T1",2002-08-24,"Istanbulspor","Besiktas",1,2,4.333,3.2,1.727,2003
"21","T1",2002-08-24,"Kocaelispor","Samsunspor",1,2,1.8,3.25,3.75,2003
"22","T1",2002-08-24,"Trabzonspor","Altay",0,0,1.667,3.25,4.5,2003
"23","T1",2002-08-25,"Ankaragucu","Elazigspor",3,1,1.533,3.4,5.5,2003
"24","T1",2002-08-25,"Denizlispor","Malatyaspor",1,0,1.727,3.2,4.333,2003
"25","T1",2002-08-25,"Diyarbakirspor","Genclerbirligi",1,4,2.4,3.25,2.5,2003
"26","T1",2002-08-25,"Galatasaray","Bursaspor",2,0,1.167,5.5,11,2003
"27","T1",2002-08-30,"Besiktas","Diyarbakirspor",2,0,1.2,5,11,2003
"28","T1",2002-08-31,"Adanaspor","Trabzonspor",0,1,2.2,3.25,2.75,2003
"29","T1",2002-08-31,"Altay","Ankaragucu",2,3,2.625,3.1,2.375,2003
"30","T1",2002-08-31,"Bursaspor","Kocaelispor",4,2,1.8,3.25,3.75,2003
"31","T1",2002-08-31,"Malatyaspor","Galatasaray",2,2,6,3.75,1.444,2003
"32","T1",2002-09-01,"Elazigspor","Gaziantepspor",1,3,2.5,3.25,2.375,2003
"33","T1",2002-09-01,"Fenerbahce","Denizlispor",3,2,1.2,5,11,2003
"34","T1",2002-09-01,"Genclerbirligi","Goztep",3,1,1.571,3.5,5,2003
"35","T1",2002-09-01,"Samsunspor","Istanbulspor",1,2,1.8,3.25,3.75,2003
"36","T1",2002-09-11,"Gaziantepspor","Fenerbahce",3,3,3.6,3.3,1.833,2003
"37","T1",2002-09-13,"Galatasaray","Kocaelispor",2,0,1.143,6,12,2003
"38","T1",2002-09-14,"Ankaragucu","Adanaspor",1,1,1.615,3.25,5,2003
"39","T1",2002-09-14,"Denizlispor","Elazigspor",3,1,1.5,3.6,5.5,2003
"40","T1",2002-09-14,"Malatyaspor","Fenerbahce",2,0,4.5,3.25,1.667,2003
"41","T1",2002-09-14,"Trabzonspor","Genclerbirligi",1,1,2.3,3.2,2.625,2003
"42","T1",2002-09-15,"Diyarbakirspor","Samsunspor",1,1,2.2,3.25,2.75,2003
"43","T1",2002-09-15,"Gaziantepspor","Altay",2,1,1.615,3.25,5,2003
"44","T1",2002-09-15,"Goztep","Besiktas",2,2,4.5,3.25,1.667,2003
"45","T1",2002-09-15,"Istanbulspor","Bursaspor",1,1,1.909,3.25,3.4,2003
"46","T1",2002-09-21,"Adanaspor","Gaziantepspor",0,2,2.25,3.25,2.625,2003
"47","T1",2002-09-21,"Bursaspor","Diyarbakirspor",4,1,1.615,3.4,4.5,2003
"48","T1",2002-09-21,"Elazigspor","Malatyaspor",2,1,2.1,3.2,3,2003
"49","T1",2002-09-21,"Samsunspor","Goztep",0,0,1.667,3.4,4.5,2003
"50","T1",2002-09-22,"Altay","Denizlispor",3,1,2.25,3,2.75,2003
"51","T1",2002-09-22,"Besiktas","Trabzonspor",0,0,1.333,4,8,2003
"52","T1",2002-09-22,"Kocaelispor","Istanbulspor",0,1,2.2,3.2,2.75,2003
"53","T1",2002-09-27,"Galatasaray","Istanbulspor",2,0,1.22,5,9,2003
"54","T1",2002-09-28,"Ankaragucu","Besiktas",0,1,2.75,3.2,2.25,2003
"55","T1",2002-09-28,"Denizlispor","Adanaspor",2,0,1.8,3.25,3.75,2003
"56","T1",2002-09-28,"Diyarbakirspor","Kocaelispor",1,1,1.8,3.1,4,2003
"57","T1",2002-09-28,"Trabzonspor","Samsunspor",0,1,1.833,3.2,3.75,2003
"58","T1",2002-09-29,"Fenerbahce","Elazigspor",4,2,1.25,5,8,2003
"59","T1",2002-09-29,"Gaziantepspor","Genclerbirligi",2,0,2,3.2,3.2,2003
"60","T1",2002-09-29,"Goztep","Bursaspor",1,1,2.1,3.2,3,2003
"61","T1",2002-09-29,"Malatyaspor","Altay",6,0,1.909,3.25,3.75,2003
"62","T1",2002-10-05,"Adanaspor","Malatyaspor",1,1,1.909,3.2,3.5,2003
"63","T1",2002-10-05,"Bursaspor","Trabzonspor",1,2,2,3.2,3.2,2003
"64","T1",2002-10-05,"Elazigspor","Galatasaray",0,0,5.5,3.6,1.5,2003
"65","T1",2002-10-05,"Istanbulspor","Diyarbakirspor",1,0,1.615,3.5,4.5,2003
"66","T1",2002-10-06,"Altay","Fenerbahce",1,3,4.333,3.4,1.667,2003
"67","T1",2002-10-06,"Besiktas","Gaziantepspor",0,0,1.5,3.6,5.5,2003
"68","T1",2002-10-06,"Genclerbirligi","Denizlispor",0,0,1.667,3.4,4.333,2003
"69","T1",2002-10-06,"Kocaelispor","Goztep",1,3,2.1,3.2,3,2003
"70","T1",2002-10-06,"Samsunspor","Ankaragucu",1,0,2.25,3.2,2.7,2003
"71","T1",2002-10-18,"Fenerbahce","Adanaspor",1,1,1.2,5,11,2003
"72","T1",2002-10-19,"Galatasaray","Diyarbakirspor",1,0,1.143,6,12,2003
"73","T1",2002-10-19,"Gaziantepspor","Samsunspor",4,2,1.667,3.3,4.5,2003
"74","T1",2002-10-19,"Goztep","Istanbulspor",1,1,2.1,3.3,2.875,2003
"75","T1",2002-10-19,"Malatyaspor","Genclerbirligi",5,4,2.2,3.25,2.75,2003
"76","T1",2002-10-20,"Ankaragucu","Bursaspor",4,0,1.833,3.2,3.75,2003
"77","T1",2002-10-20,"Denizlispor","Besiktas",1,2,3.2,3.2,2,2003
"78","T1",2002-10-20,"Elazigspor","Altay",2,0,1.909,3.25,3.4,2003
"79","T1",2002-10-20,"Trabzonspor","Kocaelispor",2,0,1.444,3.75,6,2003
"80","T1",2002-10-25,"Besiktas","Malatyaspor",3,0,1.3,4.333,8,2003
"81","T1",2002-10-26,"Altay","Galatasaray",1,2,5,3.6,1.533,2003
"82","T1",2002-10-26,"Istanbulspor","Trabzonspor",1,2,2.25,3.25,2.7,2003
"83","T1",2002-10-26,"Kocaelispor","Ankaragucu",3,0,3.2,3.2,2,2003
"84","T1",2002-10-26,"Samsunspor","Denizlispor",0,0,1.833,3.25,3.75,2003
"85","T1",2002-10-27,"Adanaspor","Elazigspor",0,0,1.8,3.25,3.8,2003
"86","T1",2002-10-27,"Bursaspor","Gaziantepspor",1,1,2.625,3.25,2.3,2003
"87","T1",2002-10-27,"Diyarbakirspor","Goztep",1,0,2.25,3.2,2.75,2003
"88","T1",2002-10-27,"Genclerbirligi","Fenerbahce",1,1,2.75,3.25,2.2,2003
"89","T1",2002-11-01,"Trabzonspor","Diyarbakirspor",3,0,1.444,3.6,6.5,2003
"90","T1",2002-11-02,"Altay","Adanaspor",0,4,2.1,3.2,3,2003
"91","T1",2002-11-02,"Ankaragucu","Istanbulspor",1,0,1.8,3.25,3.8,2003
"92","T1",2002-11-02,"Elazigspor","Genclerbirligi",0,3,2.375,3.1,2.625,2003
"93","T1",2002-11-02,"Galatasaray","Goztep",3,1,1.143,6,12,2003
"94","T1",2002-11-02,"Gaziantepspor","Kocaelispor",2,1,1.333,4,8,2003
"95","T1",2002-11-02,"Malatyaspor","Samsunspor",2,1,1.909,3.2,3.5,2003
"96","T1",2002-11-06,"Denizlispor","Bursaspor",2,2,1.8,3.25,3.8,2003
"97","T1",2002-11-06,"Fenerbahce","Galatasaray",6,0,2.25,3.2,2.75,2003
"98","T1",2002-11-08,"Besiktas","Elazigspor",3,1,1.25,4.5,9,2003
"99","T1",2002-11-09,"Adanaspor","Galatasaray",0,0,5,3.5,1.53,2003
"100","T1",2002-11-09,"Diyarbakirspor","Ankaragucu",3,0,2.5,3.2,2.4,2003
"101","T1",2002-11-09,"Goztep","Trabzonspor",1,2,2.6,3.4,2.2,2003
"102","T1",2002-11-09,"Istanbulspor","Gaziantepspor",1,3,2.6,3.4,2.2,2003
"103","T1",2002-11-10,"Bursaspor","Malatyaspor",1,1,2.1,3.2,3,2003
"104","T1",2002-11-10,"Genclerbirligi","Altay",1,0,1.44,3.75,6,2003
"105","T1",2002-11-10,"Kocaelispor","Denizlispor",2,1,2.4,3.2,2.5,2003
"106","T1",2002-11-10,"Samsunspor","Fenerbahce",1,3,3,3.25,2,2003
"107","T1",2002-11-16,"Adanaspor","Genclerbirligi",2,7,2.4,3.1,2.6,2003
"108","T1",2002-11-16,"Ankaragucu","Goztep",1,0,1.615,3.5,4.5,2003
"109","T1",2002-11-16,"Galatasaray","Trabzonspor",2,1,1.444,3.75,6,2003
"110","T1",2002-11-16,"Gaziantepspor","Diyarbakirspor",2,0,1.333,4,8,2003
"111","T1",2002-11-17,"Altay","Besiktas",0,1,5,3.6,1.533,2003
"112","T1",2002-11-17,"Denizlispor","Istanbulspor",2,1,1.909,3.25,3.4,2003
"113","T1",2002-11-17,"Elazigspor","Samsunspor",3,1,2.1,3.2,3,2003
"114","T1",2002-11-17,"Fenerbahce","Bursaspor",7,1,1.25,5,8,2003
"115","T1",2002-11-17,"Malatyaspor","Kocaelispor",2,1,1.571,3.5,5,2003
"116","T1",2002-11-23,"Besiktas","Adanaspor",3,0,1.3,4.333,8,2003
"117","T1",2002-11-23,"Diyarbakirspor","Denizlispor",0,0,2.1,3.2,3,2003
"118","T1",2002-11-23,"Istanbulspor","Malatyaspor",0,0,2.1,3.2,3,2003
"119","T1",2002-11-23,"Kocaelispor","Fenerbahce",1,2,4.5,3.5,1.615,2003
"120","T1",2002-11-23,"Trabzonspor","Ankaragucu",3,0,1.667,3.4,4.333,2003
"121","T1",2002-11-24,"Bursaspor","Elazigspor",1,1,1.727,3.25,4,2003
"122","T1",2002-11-24,"Genclerbirligi","Galatasaray",1,0,3.2,3.2,2,2003
"123","T1",2002-11-24,"Goztep","Gaziantepspor",2,1,3.5,3.5,1.833,2003
"124","T1",2002-11-24,"Samsunspor","Altay",2,4,1.615,3.5,4.333,2003
"125","T1",2002-11-29,"Fenerbahce","Istanbulspor",2,0,1.286,4.5,8,2003
"126","T1",2002-11-30,"Altay","Bursaspor",2,1,2.2,3.25,2.75,2003
"127","T1",2002-11-30,"Ankaragucu","Galatasaray",1,2,3.75,3.25,1.8,2003
"128","T1",2002-11-30,"Elazigspor","Kocaelispor",0,1,1.8,3.25,3.75,2003
"129","T1",2002-11-30,"Gaziantepspor","Trabzonspor",0,0,2.1,3.2,3,2003
"130","T1",2002-12-01,"Adanaspor","Samsunspor",1,1,1.909,3.4,3.25,2003
"131","T1",2002-12-01,"Besiktas","Genclerbirligi",1,1,1.333,4,8,2003
"132","T1",2002-12-01,"Denizlispor","Goztep",0,0,1.615,3.5,4.5,2003
"133","T1",2002-12-01,"Malatyaspor","Diyarbakirspor",0,1,1.533,3.5,5.5,2003
"134","T1",2002-12-07,"Diyarbakirspor","Fenerbahce",3,0,5,3.25,1.615,2003
"135","T1",2002-12-07,"Istanbulspor","Elazigspor",2,1,1.909,3.25,3.4,2003
"136","T1",2002-12-07,"Kocaelispor","Altay",3,0,1.833,3.2,3.75,2003
"137","T1",2002-12-07,"Trabzonspor","Denizlispor",1,0,1.615,3.25,5,2003
"138","T1",2002-12-08,"Ankaragucu","Gaziantepspor",5,3,2.375,3.1,2.625,2003
"139","T1",2002-12-08,"Bursaspor","Adanaspor",3,0,2,3.2,3.2,2003
"140","T1",2002-12-08,"Galatasaray","Besiktas",0,1,1.909,3.25,3.4,2003
"141","T1",2002-12-08,"Goztep","Malatyaspor",0,3,2.2,3,3,2003
"142","T1",2002-12-08,"Samsunspor","Genclerbirligi",2,7,2.75,3.2,2.25,2003
"143","T1",2002-12-13,"Gaziantepspor","Galatasaray",1,2,2.9,3.25,2.1,2003
"144","T1",2002-12-14,"Adanaspor","Kocaelispor",1,0,2.1,3.2,3,2003
"145","T1",2002-12-14,"Altay","Istanbulspor",4,3,2,3.2,3.2,2003
"146","T1",2002-12-14,"Fenerbahce","Goztep",0,0,1.25,4.5,10,2003
"147","T1",2002-12-14,"Malatyaspor","Trabzonspor",2,2,2.375,3.25,2.5,2003
"148","T1",2002-12-15,"Besiktas","Samsunspor",2,0,1.2,5,11,2003
"149","T1",2002-12-15,"Elazigspor","Diyarbakirspor",0,1,2,3.2,3.2,2003
"150","T1",2002-12-15,"Genclerbirligi","Bursaspor",2,0,1.444,3.75,6,2003
"151","T1",2002-12-21,"Adanaspor","Istanbulspor",0,3,1.909,3.2,3.4,2003
"152","T1",2002-12-21,"Besiktas","Bursaspor",1,0,1.167,5.5,11,2003
"153","T1",2002-12-22,"Altay","Diyarbakirspor",2,2,2,3.2,3.2,2003
"154","T1",2002-12-22,"Fenerbahce","Trabzonspor",3,2,1.5,3.6,5.5,2003
"155","T1",2002-12-22,"Genclerbirligi","Kocaelispor",5,1,1.444,3.75,6,2003
"156","T1",2002-12-22,"Samsunspor","Galatasaray",0,1,4.5,3.5,1.615,2003
"157","T1",2003-01-28,"Denizlispor","Ankaragucu",2,1,2,3.2,3.2,2003
"158","T1",2003-02-02,"Denizlispor","Gaziantepspor",1,0,2.3,3.2,2.62,2003
"159","T1",2003-02-02,"Elazigspor","Goztep",0,0,1.9,3.25,3.4,2003
"160","T1",2003-02-02,"Fenerbahce","Besiktas",0,1,2.25,3.2,2.75,2003
"161","T1",2003-02-02,"Malatyaspor","Ankaragucu",3,1,1.9,3.25,3.4,2003
"162","T1",2003-02-08,"Bursaspor","Samsunspor",2,1,1.909,3.2,3.2,2003
"163","T1",2003-02-08,"Gaziantepspor","Malatyaspor",3,0,1.8,3.3,3.75,2003
"164","T1",2003-02-08,"Goztep","Altay",0,2,2.25,3.2,2.75,2003
"165","T1",2003-02-08,"Kocaelispor","Besiktas",0,5,5.5,3.4,1.533,2003
"166","T1",2003-02-09,"Ankaragucu","Fenerbahce",0,0,3,3.2,2.1,2003
"167","T1",2003-02-09,"Diyarbakirspor","Adanaspor",2,0,1.833,3.25,3.75,2003
"168","T1",2003-02-09,"Istanbulspor","Genclerbirligi",1,3,2.75,3.25,2.2,2003
"169","T1",2003-02-09,"Trabzonspor","Elazigspor",1,1,1.4,3.75,7,2003
"170","T1",2003-02-15,"Fenerbahce","Gaziantepspor",2,0,1.444,3.75,6,2003
"171","T1",2003-02-15,"Malatyaspor","Denizlispor",2,1,1.909,3.2,3.5,2003
"172","T1",2003-02-15,"Samsunspor","Kocaelispor",1,0,2.1,3.2,3,2003
"173","T1",2003-02-16,"Adanaspor","Goztep",1,2,1.833,3.25,3.6,2003
"174","T1",2003-02-16,"Altay","Trabzonspor",1,4,2.5,3.25,2.375,2003
"175","T1",2003-02-16,"Besiktas","Istanbulspor",2,1,1.222,5,9,2003
"176","T1",2003-02-16,"Bursaspor","Galatasaray",0,4,4.5,3.5,1.615,2003
"177","T1",2003-02-16,"Elazigspor","Ankaragucu",1,0,2.3,3.2,2.625,2003
"178","T1",2003-02-16,"Genclerbirligi","Diyarbakirspor",3,1,1.444,3.75,6,2003
"179","T1",2003-02-22,"Goztep","Genclerbirligi",0,0,3.75,3.25,1.8,2003
"180","T1",2003-02-22,"Trabzonspor","Adanaspor",3,1,1.4,3.75,7,2003
"181","T1",2003-02-23,"Ankaragucu","Altay",3,0,1.727,3.4,4,2003
"182","T1",2003-02-23,"Galatasaray","Malatyaspor",2,1,1.25,5,8,2003
"183","T1",2003-02-23,"Istanbulspor","Samsunspor",0,1,2,3.2,3.2,2003
"184","T1",2003-02-28,"Fenerbahce","Malatyaspor",2,0,1.3,4.5,7.5,2003
"185","T1",2003-03-01,"Altay","Gaziantepspor",0,0,2.4,3.25,2.5,2003
"186","T1",2003-03-01,"Bursaspor","Istanbulspor",1,2,1.909,3.25,3.4,2003
"187","T1",2003-03-01,"Genclerbirligi","Trabzonspor",2,1,1.909,3.25,3.4,2003
"188","T1",2003-03-01,"Kocaelispor","Galatasaray",0,1,6,3.75,1.444,2003
"189","T1",2003-03-02,"Adanaspor","Ankaragucu",0,2,2.3,3.2,2.625,2003
"190","T1",2003-03-02,"Besiktas","Goztep",7,3,1.167,5.5,11,2003
"191","T1",2003-03-02,"Elazigspor","Denizlispor",0,2,2.1,3.2,3,2003
"192","T1",2003-03-02,"Samsunspor","Diyarbakirspor",3,1,2,3.2,3.2,2003
"193","T1",2003-03-07,"Gaziantepspor","Adanaspor",1,1,1.4,3.75,7,2003
"194","T1",2003-03-08,"Denizlispor","Altay",1,1,1.667,3.4,4.333,2003
"195","T1",2003-03-08,"Galatasaray","Fenerbahce",2,0,1.8,3.25,3.75,2003
"196","T1",2003-03-08,"Goztep","Samsunspor",0,0,2.25,3.2,2.75,2003
"197","T1",2003-03-08,"Malatyaspor","Elazigspor",1,1,1.615,3.5,4.5,2003
"198","T1",2003-03-09,"Ankaragucu","Genclerbirligi",0,1,2.625,3.2,2.3,2003
"199","T1",2003-03-09,"Diyarbakirspor","Bursaspor",4,0,1.727,3.4,4,2003
"200","T1",2003-03-09,"Istanbulspor","Kocaelispor",2,1,1.727,3.4,4,2003
"201","T1",2003-03-09,"Trabzonspor","Besiktas",1,1,3.2,3.2,2,2003
"202","T1",2003-03-14,"Genclerbirligi","Gaziantepspor",2,1,1.61,3.5,4.5,2003
"203","T1",2003-03-15,"Adanaspor","Denizlispor",2,1,2.4,3.25,2.5,2003
"204","T1",2003-03-15,"Elazigspor","Fenerbahce",3,3,3.75,3.3,1.8,2003
"205","T1",2003-03-15,"Istanbulspor","Galatasaray",1,2,6,3.4,1.5,2003
"206","T1",2003-03-15,"Samsunspor","Trabzonspor",1,3,2.5,3.25,2.4,2003
"207","T1",2003-03-16,"Altay","Malatyaspor",0,2,2.37,3.1,2.62,2003
"208","T1",2003-03-16,"Besiktas","Ankaragucu",1,0,1.25,5,8,2003
"209","T1",2003-03-16,"Bursaspor","Goztep",1,0,2,3.2,3.2,2003
"210","T1",2003-03-16,"Kocaelispor","Diyarbakirspor",1,1,2.2,3.25,2.75,2003
"211","T1",2003-03-19,"Galatasaray","Denizlispor",0,1,1.2,5,11,2003
"212","T1",2003-03-19,"Gaziantepspor","Elazigspor",4,0,1.53,3.4,5.5,2003
"213","T1",2003-03-19,"Kocaelispor","Bursaspor",0,0,2,3.2,3.2,2003
"214","T1",2003-03-22,"Ankaragucu","Samsunspor",3,2,1.8,3.25,4,2003
"215","T1",2003-03-22,"Diyarbakirspor","Istanbulspor",1,1,1.833,3.25,3.75,2003
"216","T1",2003-03-22,"Fenerbahce","Altay",0,1,1.222,5,10,2003
"217","T1",2003-03-22,"Malatyaspor","Adanaspor",1,0,1.615,3.5,4.5,2003
"218","T1",2003-03-23,"Denizlispor","Genclerbirligi",1,3,2.6,3.2,2.4,2003
"219","T1",2003-03-23,"Galatasaray","Elazigspor",3,0,1.167,6,13,2003
"220","T1",2003-03-23,"Gaziantepspor","Besiktas",1,1,3.75,3.25,1.833,2003
"221","T1",2003-03-23,"Goztep","Kocaelispor",1,2,1.833,3.25,3.75,2003
"222","T1",2003-03-23,"Trabzonspor","Bursaspor",3,0,1.364,4,7,2003
"223","T1",2003-04-05,"Besiktas","Denizlispor",2,0,1.25,5,8,2003
"224","T1",2003-04-05,"Genclerbirligi","Malatyaspor",3,0,1.4,3.75,7,2003
"225","T1",2003-04-05,"Kocaelispor","Trabzonspor",2,2,3.4,3.25,1.909,2003
"226","T1",2003-04-05,"Samsunspor","Gaziantepspor",2,1,2.5,3.1,2.5,2003
"227","T1",2003-04-06,"Adanaspor","Fenerbahce",3,1,3.4,3.25,1.909,2003
"228","T1",2003-04-06,"Altay","Elazigspor",5,1,1.8,3.25,3.75,2003
"229","T1",2003-04-06,"Bursaspor","Ankaragucu",0,2,2.25,3.2,2.75,2003
"230","T1",2003-04-06,"Diyarbakirspor","Galatasaray",1,3,4.333,3.4,1.667,2003
"231","T1",2003-04-06,"Istanbulspor","Goztep",3,1,1.727,3.4,4,2003
"232","T1",2003-04-11,"Galatasaray","Altay",5,0,1.167,5.5,11,2003
"233","T1",2003-04-12,"Denizlispor","Samsunspor",0,1,1.8,3.25,3.75,2003
"234","T1",2003-04-12,"Goztep","Diyarbakirspor",3,0,2.25,3.2,2.75,2003
"235","T1",2003-04-12,"Malatyaspor","Besiktas",1,2,3.75,3.25,1.8,2003
"236","T1",2003-04-13,"Ankaragucu","Kocaelispor",2,0,1.533,3.6,5,2003
"237","T1",2003-04-13,"Elazigspor","Adanaspor",4,2,2.1,3.2,3,2003
"238","T1",2003-04-13,"Fenerbahce","Genclerbirligi",3,3,2.2,3.25,2.75,2003
"239","T1",2003-04-13,"Trabzonspor","Istanbulspor",0,0,1.5,3.6,5.5,2003
"240","T1",2003-04-16,"Denizlispor","Fenerbahce",1,1,2.8,3.2,2.2,2003
"241","T1",2003-04-16,"Diyarbakirspor","Besiktas",1,0,5,3.5,1.57,2003
"242","T1",2003-04-18,"Goztep","Galatasaray",0,1,5.5,3.6,1.5,2003
"243","T1",2003-04-19,"Diyarbakirspor","Trabzonspor",2,0,2.625,3.2,2.3,2003
"244","T1",2003-04-19,"Genclerbirligi","Elazigspor",2,0,1.222,5,9,2003
"245","T1",2003-04-19,"Istanbulspor","Ankaragucu",1,0,2.2,3.25,2.75,2003
"246","T1",2003-04-19,"Samsunspor","Malatyaspor",1,1,2.1,3.2,3,2003
"247","T1",2003-04-20,"Adanaspor","Altay",5,2,2,3.2,3.2,2003
"248","T1",2003-04-20,"Besiktas","Fenerbahce",2,0,1.615,3.5,4.5,2003
"249","T1",2003-04-20,"Bursaspor","Denizlispor",2,0,2.2,3.25,2.75,2003
"250","T1",2003-04-20,"Kocaelispor","Gaziantepspor",0,3,2.5,3.25,2.4,2003
"251","T1",2003-04-26,"Ankaragucu","Diyarbakirspor",3,1,1.727,3.4,4,2003
"252","T1",2003-04-26,"Denizlispor","Kocaelispor",1,2,1.667,3.4,4.333,2003
"253","T1",2003-04-26,"Elazigspor","Besiktas",0,1,6,3.75,1.444,2003
"254","T1",2003-04-26,"Fenerbahce","Samsunspor",1,1,1.444,3.75,6,2003
"255","T1",2003-04-27,"Altay","Genclerbirligi",3,3,3.5,3.4,1.833,2003
"256","T1",2003-04-27,"Galatasaray","Adanaspor",2,2,1.167,5.5,11,2003
"257","T1",2003-04-27,"Gaziantepspor","Istanbulspor",4,3,1.615,3.6,4.333,2003
"258","T1",2003-04-27,"Malatyaspor","Bursaspor",4,2,1.615,3.6,4.333,2003
"259","T1",2003-04-27,"Trabzonspor","Goztep",0,0,1.4,3.75,7,2003
"260","T1",2003-05-03,"Besiktas","Altay",2,0,1.143,6,12,2003
"261","T1",2003-05-03,"Bursaspor","Fenerbahce",2,1,2.5,3.25,2.375,2003
"262","T1",2003-05-03,"Genclerbirligi","Adanaspor",0,2,1.3,4.333,8,2003
"263","T1",2003-05-03,"Istanbulspor","Denizlispor",2,1,1.833,3,4,2003
"264","T1",2003-05-03,"Samsunspor","Elazigspor",4,3,1.8,3.3,3.75,2003
"265","T1",2003-05-04,"Diyarbakirspor","Gaziantepspor",0,1,2.375,3.25,2.5,2003
"266","T1",2003-05-04,"Goztep","Ankaragucu",0,1,2.3,3.4,2.5,2003
"267","T1",2003-05-04,"Kocaelispor","Malatyaspor",2,3,2.375,3.25,2.5,2003
"268","T1",2003-05-04,"Trabzonspor","Galatasaray",1,2,3.2,3.2,2,2003
"269","T1",2003-05-11,"Altay","Samsunspor",2,2,2,3.2,3.2,2003
"270","T1",2003-05-11,"Ankaragucu","Trabzonspor",2,0,1.909,3.4,3.25,2003
"271","T1",2003-05-11,"Denizlispor","Diyarbakirspor",2,0,2,3,3.4,2003
"272","T1",2003-05-11,"Elazigspor","Bursaspor",2,1,2,3.2,3.2,2003
"273","T1",2003-05-11,"Galatasaray","Genclerbirligi",1,1,1.5,3.4,6,2003
"274","T1",2003-05-11,"Gaziantepspor","Goztep",3,1,1.444,3.75,6.5,2003
"275","T1",2003-05-11,"Malatyaspor","Istanbulspor",1,2,1.615,3.5,4.5,2003
"276","T1",2003-05-16,"Trabzonspor","Gaziantepspor",2,1,2.25,3.2,2.75,2003
"277","T1",2003-05-17,"Bursaspor","Altay",2,1,1.8,3.25,3.75,2003
"278","T1",2003-05-17,"Diyarbakirspor","Malatyaspor",1,1,2.2,3,3,2003
"279","T1",2003-05-17,"Galatasaray","Ankaragucu",3,0,1.36,4,7,2003
"280","T1",2003-05-17,"Genclerbirligi","Besiktas",1,2,2.5,3.2,2.25,2003
"281","T1",2003-05-17,"Goztep","Denizlispor",2,3,2,3.2,3.2,2003
"282","T1",2003-05-17,"Istanbulspor","Fenerbahce",2,0,2.63,3.2,2.3,2003
"283","T1",2003-05-17,"Samsunspor","Adanaspor",0,2,1.83,3.2,3.75,2003
"284","T1",2003-05-25,"Adanaspor","Bursaspor",2,2,1.909,3.1,3.6,2003
"285","T1",2003-05-25,"Besiktas","Galatasaray",1,0,2,3,3.4,2003
"286","T1",2003-05-25,"Denizlispor","Trabzonspor",1,1,2.5,3.25,2.375,2003
"287","T1",2003-05-25,"Elazigspor","Istanbulspor",1,0,1.727,3.6,3.75,2003
"288","T1",2003-05-25,"Fenerbahce","Diyarbakirspor",0,0,1.5,3.6,5.5,2003
"289","T1",2003-05-25,"Gaziantepspor","Ankaragucu",4,2,1.8,3.1,4,2003
"290","T1",2003-05-25,"Genclerbirligi","Samsunspor",1,1,1.5,3.6,5.5,2003
"291","T1",2003-05-30,"Galatasaray","Gaziantepspor",2,1,1.57,3.75,4.5,2003
"292","T1",2003-05-31,"Ankaragucu","Denizlispor",1,1,1.57,3.75,4.5,2003
"293","T1",2003-05-31,"Bursaspor","Genclerbirligi",3,1,1.57,3.75,4.5,2003
"294","T1",2003-05-31,"Kocaelispor","Adanaspor",1,2,2.6,3.5,2.25,2003
"295","T1",2003-05-31,"Samsunspor","Besiktas",3,4,3.25,3.4,1.9,2003
"296","T1",2003-05-31,"Trabzonspor","Malatyaspor",0,2,2.1,3.4,2.8,2003
"297","T1",2003-08-08,"Samsunspor","Besiktas",1,3,4.5,3.5,1.615,2004
"298","T1",2003-08-09,"Bursaspor","Gaziantepspor",0,0,2.4,3.25,2.5,2004
